relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Le Mulet - Mangin,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Mulet - Néotrantor,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Mulet - Jord Commason,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Han Pritcher - Excellence,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Han Pritcher - Seigneur de Kalgan,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Han Pritcher - Le Renard,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Han Pritcher - Indbur,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Seigneur de Kalgan - Excellence,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Toran - Jord Commason,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Toran - Mis,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Horleggor - Ovall Gri,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Mangin - Ovall Gri,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Renard - Orum Palley,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Néotrantor - Dagobert IX,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Dagobert X - Jord Commason,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
