relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Trevize - Cosmographiquement,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Trevize - Professeur Quintesetz,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize - Delora Delarmi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trevize - Orateur Gendibal,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Trevize - Terminus,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Tope,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Janov Pelorat - Comporellon,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Siriens,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Stor Gendibal,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Trantor,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Prudente,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Bayta Darell - Hamienne,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Toran - Arkady Darell,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Mulet - Jan ou Pel,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Liono Kodell - Madame,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Flexner - Flavella,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Liono Kodell - Stor Gendibal,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Idiot - Liono Kodell,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Idiot - Madame le Maire,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Madame le Maire - Arkady Darell,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Mulet - Le Scychellois,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Gendibal - Premier Orateur,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Quindor Shandess - Premier Orateur,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Quindor Shandess - Orateur Cheng,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Hame - Quindor Shandess,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trantor - Preem Palver,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Terminus - Gaïa,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Orateur Gendibal,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Orateur Gendibal - Oratrice Delarmi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Gendibal - Stor Gendibal,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Gendibal - Gaïa,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Gendibal - Preem Palver,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Gendibal - Leslim Gianni,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Trantor - Stor Gendibal,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Anonymement,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Sapristi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Janov Pelorat - Professeur Quintesetz,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Stor Gendibal - Mamie Supernova,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Stor Gendibal - Premier Orateur,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Stor Gendibal - Gaïa,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Stor Gendibal - Heulà,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Orateur Cheng - Oratrice Delarmi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
