relation,professionnal,friendly,romance,weight,classified_total,professionnal_pct,friendly_pct,romance_pct
Tomas Sutt - Jord Fara,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Pirenne toussota - Jord Fara,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Tomas Sutt - Lundin Crast,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jord Fara - Lundin Crast,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jord Fara - Alurin,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Yohan Lee - Poly Verisof,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Sef Sermak - Walto,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Anacréon - Pluema,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Salvor Hardin - Publis Manlio,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Salvor Hardin - Théo Aporat,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Poly Verisof - Wienis,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Poly Verisof - Lepold Ier,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Sef Sermak - Loris,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Wienis - Lepold Ier,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Limmar Ponyets - Askoniens,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hober Mallow - Le Marchand,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Askone - Eskel Gorov,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Lepold Ier - Le roi,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hober Mallow - Jorane Sutt,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hober Mallow - Maître Marchand de Smyrno,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hober Mallow - Jord Parma,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hober Mallow - Drawt,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hober Mallow - Maître Marchand,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hober Mallow - Ankor Jael,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Hober Mallow - Princes Marchands,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Eskel Gorov - Limmar Ponyets,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Marchand - Jorane Sutt,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Marchand - Princes Marchands,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Princes Marchands - Jorane Sutt,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Le Marchand - Sage techniste,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Princes Marchands - Ankor Jael,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jorane Sutt - Secundo,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jorane Sutt - Publis Manlio,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Publis Manlio - Ankor Jael,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jaim Twer - Jord Parma,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Jaim Twer - Ankor Jael,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Tinter - Jord Parma,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Onum Barr - Siwenna,0.0,1.0,0.0,1.0,1.0,0.0,100.0,0.0
Onum Barr - Stannel VI,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Siwenna - Stannel VI,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Sage techniste - Primo,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
Ankor Jael - Secundo,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0
